,polarity,subjectivity,neg,neu,pos,compound
44,-0.147412109375,0.95,0.284,0.716,0.0,-0.5526
45,0.35,0.65,0.292,0.708,0.0,-0.357
46,0.012500000000000011,0.5375,0.285,0.484,0.231,-0.25
47,0.5,0.5,0.0,0.686,0.314,0.7506
48,0.0,0.0,0.0,1.0,0.0,0.0
49,0.0,0.0,0.0,1.0,0.0,0.0
50,0.0,0.5,0.0,1.0,0.0,0.0
51,0.2857142857142857,0.5357142857142857,0.144,0.856,0.0,-0.4019
52,0.0,0.0,0.0,1.0,0.0,0.0
53,0.0,0.0,0.0,0.228,0.772,0.5255
54,0.65,0.65,0.0,0.148,0.852,0.6976
55,0.2,0.2,0.0,1.0,0.0,0.0
56,0.0,0.0,0.109,0.498,0.393,0.6908
57,0.35,0.45,0.175,0.589,0.236,0.0056
58,-0.25,1.0,0.444,0.556,0.0,-0.34
59,0.2,0.2,0.0,0.734,0.266,0.4404
60,0.5861111111111111,0.7888888888888889,0.0,0.0,1.0,0.8939
61,-0.1,0.65,0.323,0.677,0.0,-0.7351
62,0.0,0.0,0.0,1.0,0.0,0.0
63,0.1,1.0,0.0,0.441,0.559,0.5859
64,0.0,0.0,0.0,1.0,0.0,0.0
65,0.625,0.6,0.0,0.0,1.0,0.807
66,0.0,0.0,0.0,1.0,0.0,0.0
67,0.20535714285714285,0.7678571428571428,0.0,1.0,0.0,0.0
68,0.3,0.9,0.0,1.0,0.0,0.0
69,0.3333333333333333,0.3888888888888889,0.0,0.486,0.514,0.8122
70,0.0,0.0,0.0,1.0,0.0,0.0
71,0.14999999999999997,0.6000000000000001,0.258,0.5,0.242,-0.0516
72,-0.45,0.45,0.292,0.708,0.0,-0.5106
73,0.0,0.0,0.226,0.774,0.0,-0.3867
74,0.0,0.0,0.0,1.0,0.0,0.0
75,0.0,0.0,0.0,0.8,0.2,0.3612
76,0.5666666666666667,0.5666666666666667,0.0,0.428,0.572,0.9241
77,1.0,1.0,0.0,0.351,0.649,0.5719
78,0.0,0.0,0.0,1.0,0.0,0.0
79,0.8,0.7,0.508,0.254,0.237,-0.4939
80,0.3,0.8,0.0,0.675,0.325,0.6486
81,0.25,0.6666666666666666,0.0,0.863,0.137,0.2263
82,-0.625,1.0,0.443,0.557,0.0,-0.1511
83,-0.06666666666666665,0.6666666666666666,0.0,0.716,0.284,0.6761
84,0.25,0.3333333333333333,0.0,1.0,0.0,0.0
85,0.0,0.0,0.0,1.0,0.0,0.0
86,0.19999999999999998,0.5,0.0,0.565,0.435,0.6597
87,-0.5,1.0,0.299,0.701,0.0,-0.3724
88,0.16666666666666666,0.4666666666666667,0.0,0.899,0.101,0.4215
89,-0.1625,0.3875,0.344,0.529,0.127,-0.7269
90,0.0,0.0,0.167,0.833,0.0,-0.1027
91,0.0,0.0,0.0,1.0,0.0,0.0
92,0.25,0.45,0.0,1.0,0.0,0.0
93,0.13333333333333333,0.7000000000000001,0.0,0.704,0.296,0.8555
94,0.26666666666666666,0.3666666666666667,0.0,0.635,0.365,0.5574
95,0.15000000000000002,0.55,0.136,0.758,0.106,-0.1531
96,0.0,0.0,0.0,1.0,0.0,0.0
97,0.0,0.0,0.0,1.0,0.0,0.0
98,0.0,0.5,0.099,0.791,0.111,0.0772
99,0.2,0.2,0.341,0.659,0.0,-0.3804
100,0.7,0.7,0.0,0.549,0.451,0.6249
101,-0.15,0.7,0.229,0.583,0.188,-0.25
102,0.0,0.0,0.0,1.0,0.0,0.0
103,0.07142857142857142,0.44761904761904764,0.103,0.806,0.092,-0.0772
104,0.5,0.475,0.0,0.604,0.396,0.802
105,0.4375,0.9375,0.204,0.68,0.116,-0.0495
106,0.0,0.0,0.0,0.833,0.167,0.34
107,0.1,0.4,0.0,1.0,0.0,0.0
